rang,titre,nationalité,sortie,entrées (millions)
1,UN P'TIT TRUC EN PLUS,FRANCE,2024-05-01,10.72
2,LE COMTE DE MONTE-CRISTO,FRANCE,2024-06-28,9.39
3,VICE-VERSA 2,ETATS UNIS,2024-06-19,8.29
4,VAIANA 2,ETATS UNIS,2024-11-27,6.68
5,L'AMOUR OUF,FRANCE,2024-10-16,4.83
6,"MOI, MOCHE ET MECHANT 4",ETATS UNIS,2024-07-10,4.38
7,DUNE : DEUXIEME PARTIE,ETATS UNIS,2024-02-28,4.14
8,DEADPOOL & WOLVERINE,GRANDE BRETAGNE,2024-07-24,3.63
9,GLADIATOR II,GRANDE BRETAGNE,2024-11-13,2.91
10,	MUFASA : LE ROI LION,ETATS UNIS,2024-12-18,2.54
11,LA PLANETE DES SINGES : LE NOUVEAU ROYAUME,ETATS UNIS,2024-05-08,2.47
12,KUNG FU PANDA 4,ETATS UNIS,2024-03-27,2.36
13,MONSIEUR AZNAVOUR,FRANCE,2024-10-23,2.04
14,COCORICO,FRANCE,2024-02-07,1.98
15,BOB MARLEY : ONE LOVE,GRANDE BRETAGNE,2024-02-14,1.9
16,LE ROBOT SAUVAGE,ETATS UNIS,2024-10-09,1.8
17,BEETLEJUICE BEETLEJUICE,GRANDE BRETAGNE,2024-09-11,1.72
18,WONKA,GRANDE BRETAGNE,2023-12-13,1.65
19,UNE VIE,GRANDE BRETAGNE,2024-02-21,1.61
20,JURÉ N°2,ETATS UNIS,2024-10-30,1.61
21,EN FANFARE,FRANCE,2024-11-27,1.6
22,MAISON DE RETRAITE 2,FRANCE,2024-02-14,1.54
23,VENOM THE LAST DANCE,ETATS UNIS,2024-10-30,1.48
24,JAMAIS PLUS - IT ENDS WITH US,ETATS UNIS,2024-08-14,1.32
25,BAD BOYS : RIDE OR DIE,ETATS UNIS,2024-06-05,1.25
26,CHASSE GARDEE,FRANCE,2023-12-20,1.22
27,SONIC 3 - LE FILM,ETATS UNIS,2024-12-25,1.22
28,GODZILLA X KONG : LE NOUVEL EMPIRE,ETATS UNIS,2024-04-03,1.2
29,BLUE & COMPAGNIE,ETATS UNIS,2024-05-08,1.2
30,CHIEN ET CHAT,FRANCE / CANADA,2024-02-14,1.13
31,ALIEN : ROMULUS,ETATS UNIS,2024-08-14,1.12
32,BACK TO BLACK,GRANDE BRETAGNE,2024-04-24,1.1
33,EMILIA PEREZ,FRANCE,2024-08-21,1.08
34,	JOKER : FOLIE A DEUX,ETATS UNIS,2024-10-02,1.02
35,AQUAMAN ET LE ROYAUME PERDU,GRANDE BRETAGNE,2023-12-20,1.01
36,LE DERNIER JAGUAR,FRANCE / CANADA,2024-02-07,1.0
