Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Bronze,2024-01-08,Ireland,H,Rowing,Men's Double Sculls,Ireland,IRL,1
Silver,2024-07-31,Netherlands,F,Rowing,Women's Quadruple Sculls,Netherlands,NED,2
Gold,2024-02-08,BOTIN/TRITTEL,H,Sailing,Men's Skiff,Spain,ESP,3
Bronze,2024-10-08,Netherlands,F,Artistic Swimming,Duet,Netherlands,NED,1
Silver,2024-07-27,Australia,H,Swimming,Men's 4 x 100m Freestyle Relay,Australia,AUS,2
Bronze,2024-01-08,China,F,Swimming,Women's 4 x 200m Freestyle Relay,China,CHN,1
Silver,2024-02-08,WANG/ZHANG,Mixte,Tennis,Mixed Doubles,China,CHN,2
Gold,2024-10-08,AHMAN/HELLVIG,H,Beach Volleyball,Men,Sweden,SWE,3
Silver,2024-11-08,Tigst ASSEFA,F,Athletics,Women's Marathon,Ethiopia,ETH,2
Bronze,2024-07-27,Wout van AERT,H,Cycling Road,Men's Individual Time Trial,Belgium,BEL,1
Silver,2024-07-31,Kristof MILAK,H,Swimming,Men's 200m Butterfly,Hungary,HUN,2
Gold,2024-09-08,Kristof RASOVSZKY,H,Marathon Swimming,Men's 10km,Hungary,HUN,3
Bronze,2024-09-08,Jack CARLIN,H,Cycling Track,Men's Sprint,Great Britain,GBR,1
Silver,2024-03-08,Emma TWIGG,F,Rowing,Women's Single Sculls,New Zealand,NZL,2
Bronze,2024-07-28,Carson FOSTER,H,Swimming,Men's 400m Individual Medley,United States,USA,1
Bronze,2024-06-08,OZAKI Nonoka,F,Wrestling,Women's Freestyle 68kg,Japan,JPN,1
Gold,2024-08-08,Rizki JUNIANSYAH,H,Weightlifting,Men's 73kg,Indonesia,INA,3
Bronze,2024-07-28,ZHANG Yufei,F,Swimming,Women's 100m Butterfly,China,CHN,1
Silver,2024-07-28,Haley BATTEN,F,Cycling Mountain Bike,Women's Cross-country,United States,USA,2
Gold,2024-07-29,Christa DEGUCHI,F,Judo,Women -57 kg,Canada,CAN,3
Bronze,2024-07-08,Augusto AKIO,H,Skateboarding,Men's Park,Brazil,BRA,1
Gold,2024-07-29,CHEUNG Ka Long,H,Fencing,Men's Foil Individual,"Hong Kong, China",HKG,3
Silver,2024-10-08,Botswana,H,Athletics,Men's 4 x 400m Relay,Botswana,BOT,2
Bronze,2024-08-08,MORENO/DOMINGUEZ,H,Canoe Sprint,Men's Canoe Double 500m,Spain,ESP,1
Silver,2024-07-08,Artur ALEKSANYAN,H,Wrestling,Men's Greco-Roman 97kg,Armenia,ARM,2
Gold,2024-07-08,Mohammadhadi SARAVI,H,Wrestling,Men's Greco-Roman 97kg,IR Iran,IRI,3
Bronze,2024-08-08,Cindy Winner DJANKEU NGAMBA,F,Boxing,Women's 75kg,EOR,EOR,1
Gold,2024-03-08,Marta MAGGETTI,F,Sailing,Women's Windsurfing,Italy,ITA,3
Silver,2024-07-08,GUO Qing,F,Taekwondo,Women -49kg,China,CHN,2
Gold,2024-05-08,LI Yuehong,H,Shooting,25m Rapid Fire Pistol Men,China,CHN,3
Bronze,2024-08-08,Fabio van den BOSSCHE,H,Cycling Track,Men's Omnium,Belgium,BEL,1
Silver,2024-07-27,Auriane MALLO-BRETON,F,Fencing,Women's Épée Individual,France,FRA,2
Gold,2024-10-08,LIU Huanhua,H,Weightlifting,Men's 102kg,China,CHN,3
Bronze,2024-09-08,HONG Kexin,F,Wrestling,Women's Freestyle 57kg,China,CHN,1
Silver,2024-07-31,Hayden WILDE,H,Triathlon,Men's Individual,New Zealand,NZL,2
Silver,2024-09-08,YANG Liu,F,Boxing,Women's 66kg,China,CHN,2
Gold,2024-08-08,CHANG Yuan,F,Boxing,Women's 54kg,China,CHN,3
Bronze,2024-06-08,Nazym KYZAIBAY,F,Boxing,Women's 50kg,Kazakhstan,KAZ,1
Bronze,2024-04-08,Enmanuel REYES PLA,H,Boxing,Men's 92kg,Spain,ESP,1
Gold,2024-02-08,Ivan LITVINOVICH,H,Trampoline Gymnastics,Men,AIN,AIN,3
Gold,2024-11-08,KAGAMI Yuka,F,Wrestling,Women's Freestyle 76kg,Japan,JPN,3
Silver,2024-07-28,Klaudia ZWOLINSKA,F,Canoe Slalom,Women's Kayak Single,Poland,POL,2
Bronze,2024-03-08,Kaylee McKEOWN,F,Swimming,Women's 200m Individual Medley,Australia,AUS,1
Bronze,2024-10-08,Giorgi MESHVILDISHVILI,H,Wrestling,Men's Freestyle 125kg,Azerbaijan,AZE,1
Gold,2024-09-08,AMI,F,Breaking,B-Girls,Japan,JPN,3
Bronze,2024-07-31,Evy LEIBFARTH,F,Canoe Slalom,Women's Canoe Single,United States,USA,1
Silver,2024-05-08,Tatiana WESTON-WEBB,F,Surfing,Women,Brazil,BRA,2
Silver,2024-03-08,Sha'carri RICHARDSON,F,Athletics,Women's 100m,United States,USA,2
Gold,2024-08-08,Grant HOLLOWAY,H,Athletics,Men's 110m Hurdles,United States,USA,3
Gold,2024-02-08,Chiara LEONE,F,Shooting,50m Rifle 3 Positions Women,Switzerland,SUI,3
Silver,2024-09-08,CSIPES/GAZSO,F,Canoe Sprint,Women's Kayak Double 500m,Hungary,HUN,2
Gold,2024-07-30,United States,F,Artistic Gymnastics,Women's Team,United States,USA,3
Bronze,2024-09-08,Argentina,F,Hockey,Women,Argentina,ARG,1
Gold,2024-02-08,Ireland,H,Rowing,Lightweight Men's Double Sculls,Ireland,IRL,3
Silver,2024-03-08,Canada,F,Rowing,Women's Eight,Canada,CAN,2
Silver,2024-10-08,Great Britain,F,Artistic Swimming,Duet,Great Britain,GBR,2
Bronze,2024-10-08,MOL/SORUM,H,Beach Volleyball,Men,Norway,NOR,1
Gold,2024-09-08,Imane KHELIF,F,Boxing,Women's 66kg,Algeria,ALG,3
Silver,2024-09-08,KALEYN Boryana,F,Rhythmic Gymnastics,Individual All-Around,Bulgaria,BUL,2
Bronze,2024-05-08,Zii Jia LEE,H,Badminton,Men's Singles,Malaysia,MAS,1
Bronze,2024-11-08,SEONG Seungmin,F,Modern Pentathlon,Women's Individual,Korea,KOR,1
Gold,2024-10-08,Solfrid Eila Amena KOANDA,F,Weightlifting,Women's 81kg,Norway,NOR,3
Silver,2024-05-08,Illia KOVTUN,H,Artistic Gymnastics,Men's Parallel Bars,Ukraine,UKR,2
Gold,2024-04-08,KIM Woojin,H,Archery,Men's Individual,Korea,KOR,3
Gold,2024-02-08,Bryony PAGE,F,Trampoline Gymnastics,Women,Great Britain,GBR,3
Bronze,2024-02-08,ZHANG Qiongyue,F,Shooting,50m Rifle 3 Positions Women,China,CHN,1
Gold,2024-11-08,Ellesse ANDREWS,F,Cycling Track,Women's Sprint,New Zealand,NZL,3
Silver,2024-04-08,Meg HARRIS,F,Swimming,Women's 50m Freestyle,Australia,AUS,2
Silver,2024-06-08,Steve GUERDAT,Équipe,Equestrian,Jumping Individual,Switzerland,SUI,2
Bronze,2024-06-08,Maikel van der VLEUTEN,Équipe,Equestrian,Jumping Individual,Netherlands,NED,1
Silver,2024-04-08,Amber Jo RUTTER,F,Shooting,Skeet Women,Great Britain,GBR,2
Silver,2024-07-08,Kenneth ROOKS,H,Athletics,Men's 3000m Steeplechase,United States,USA,2
Bronze,2024-06-08,Aira VILLEGAS,F,Boxing,Women's 50kg,Philippines,PHI,1
Bronze,2024-10-08,Chermen VALIEV,H,Wrestling,Men's Freestyle 74kg,Albania,ALB,1
Gold,2024-02-08,ZHENG/HUANG,Mixte,Badminton,Mixed Doubles,China,CHN,3
Gold,2024-07-08,United States,F,Cycling Track,Women's Team Pursuit,United States,USA,3
Gold,2024-07-30,Italy,F,Fencing,Women's Épée Team,Italy,ITA,3
Silver,2024-03-08,Netherlands,H,Rowing,Men's Eight,Netherlands,NED,2
Gold,2024-07-31,Netherlands,H,Rowing,Men's Quadruple Sculls,Netherlands,NED,3
Bronze,2024-07-31,Poland,H,Rowing,Men's Quadruple Sculls,Poland,POL,1
Bronze,2024-03-08,Great Britain,F,Rowing,Women's Eight,Great Britain,GBR,1
Silver,2024-02-08,Romania,F,Rowing,Lightweight Women's Double Sculls,Romania,ROU,2
Gold,2024-07-31,Lasha BEKAURI,H,Judo,Men -90 kg,Georgia,GEO,3
Bronze,2024-05-08,TANG Chia-Hung,H,Artistic Gymnastics,Men's Horizontal Bar,Chinese Taipei,TPE,1
Bronze,2024-07-27,NAGAYAMA Ryuju,H,Judo,Men -60 kg,Japan,JPN,1
Bronze,2024-09-08,CHANG Yani,F,Diving,Women's 3m Springboard,China,CHN,1
Bronze,2024-09-08,Sarah CHAARI,F,Taekwondo,Women -67kg,Belgium,BEL,1
Gold,2024-09-08,Jordan Alejandro DIAZ FORTUN,H,Athletics,Men's Triple Jump,Spain,ESP,3
Gold,2024-07-29,SHENG Lihao,H,Shooting,10m Air Rifle Men,China,CHN,3
Bronze,2024-06-08,ZHAO Jie,F,Athletics,Women's Hammer Throw,China,CHN,1
Bronze,2024-07-31,HAUGHEY Siobhan Bernadette,F,Swimming,Women's 100m Freestyle,"Hong Kong, China",HKG,1
Gold,2024-08-08,Letsile TEBOGO,H,Athletics,Men's 200m,Botswana,BOT,3
Bronze,2024-08-08,Charlie SENIOR,H,Boxing,Men's 57kg,Australia,AUS,1
Silver,2024-09-08,Maddison KEENEY,F,Diving,Women's 3m Springboard,Australia,AUS,2
Silver,2024-03-08,Grae MORRIS,H,Sailing,Men's Windsurfing,Australia,AUS,2
Gold,2024-04-08,Scottie SCHEFFLER,H,Golf,Men's Individual Stroke Play,United States,USA,3
Bronze,2024-09-08,Alison dos SANTOS,H,Athletics,Men's 400m Hurdles,Brazil,BRA,1
Bronze,2024-03-08,Stephen NEDOROSCIK,H,Artistic Gymnastics,Men's Pommel Horse,United States,USA,1
Silver,2024-05-08,Sam KENDRICKS,H,Athletics,Men's Pole Vault,United States,USA,2
Silver,2024-10-08,Shelby McEWEN,H,Athletics,Men's High Jump,United States,USA,2
Silver,2024-02-08,Manon VEENSTRA,F,Cycling BMX Racing,Women,Netherlands,NED,2
Gold,2024-04-08,LEE/WANG,H,Badminton,Men's Doubles,Chinese Taipei,TPE,3
Silver,2024-09-08,NADAS/TOTKA,H,Canoe Sprint,Men's Kayak Double 500m,Hungary,HUN,2
Bronze,2024-07-08,Great Britain,F,Cycling Track,Women's Team Pursuit,Great Britain,GBR,1
Silver,2024-07-08,New Zealand,F,Cycling Track,Women's Team Pursuit,New Zealand,NZL,2
Gold,2024-02-08,Great Britain,Équipe,Equestrian,Jumping Team,Great Britain,GBR,3
Gold,2024-01-08,United States,H,Rowing,Men's Four,United States,USA,3
Gold,2024-08-08,VADLAU/MAEHR,Mixte,Sailing,Mixed Dinghy,Austria,AUT,3
Silver,2024-04-08,ANDREEVA/SHNAIDER,F,Tennis,Women's Doubles,AIN,AIN,2
Gold,2024-02-08,SINIAKOVA/MACHAC,Mixte,Tennis,Mixed Doubles,Czechia,CZE,3
Bronze,2024-07-30,LIM/SHIN,Mixte,Table Tennis,Mixed Doubles,Korea,KOR,1
Bronze,2024-08-08,Javier IBANEZ DIAZ,H,Boxing,Men's 57kg,Bulgaria,BUL,1
Bronze,2024-07-08,Aleksandra KALUCKA,F,Sport Climbing,Women's Speed,Poland,POL,1
Bronze,2024-07-08,Akzhol MAKHMUDOV,H,Wrestling,Men's Greco-Roman 77kg,Kyrgyzstan,KGZ,1
Bronze,2024-03-08,Lindon VICTOR,H,Athletics,Men's Decathlon,Grenada,GRN,1
Gold,2024-10-08,Josef DOSTAL,H,Canoe Sprint,Men's Kayak Single 1000m,Czechia,CZE,3
Bronze,2024-03-08,Lisa BARBELIN,F,Archery,Women's Individual,France,FRA,1
Silver,2024-10-08,Amir Hossein ZARE,H,Wrestling,Men's Freestyle 125kg,IR Iran,IRI,2
Silver,2024-09-08,Hassan YAZDANICHARATI,H,Wrestling,Men's Freestyle 86kg,IR Iran,IRI,2
Bronze,2024-07-08,Uzur DZHUZUPBEKOV,H,Wrestling,Men's Greco-Roman 97kg,Kyrgyzstan,KGZ,1
Bronze,2024-05-08,Johanne DEFAY,F,Surfing,Women,France,FRA,1
Silver,2024-10-08,Julia SZEREMETA,F,Boxing,Women's 57kg,Poland,POL,2
Bronze,2024-07-08,Gabriel Alejandro ROSILLO KINDELAN,H,Wrestling,Men's Greco-Roman 97kg,Cuba,CUB,1
Gold,2024-03-08,Markus ROOTH,H,Athletics,Men's Decathlon,Norway,NOR,3
Bronze,2024-04-08,Felix LEBRUN,H,Table Tennis,Men's Singles,France,FRA,1
Gold,2024-07-29,BAN Hyojin,F,Shooting,10m Air Rifle Women,Korea,KOR,3
Bronze,2024-08-08,Bozhidar Dimitrov ANDREEV,H,Weightlifting,Men's 73kg,Bulgaria,BUL,1
Gold,2024-09-08,Karlos May NASAR,H,Weightlifting,Men's 89kg,Bulgaria,BUL,3
Silver,2024-07-29,HUH Mimi,F,Judo,Women -57 kg,Korea,KOR,2
Silver,2024-02-08,KIM Minjong,H,Judo,Men +100 kg,Korea,KOR,2
Bronze,2024-07-27,Chloe DYGERT,F,Cycling Road,Women's Individual Time Trial,United States,USA,1
Gold,2024-07-08,Quincy HALL,H,Athletics,Men's 400m,United States,USA,3
Gold,2024-10-08,Katie VINCENT,F,Canoe Sprint,Women's Canoe Single 200m,Canada,CAN,3
Bronze,2024-08-08,Jasmine MOORE,F,Athletics,Women's Long Jump,United States,USA,1
Gold,2024-08-08,Sydney McLAUGHLIN-LEVRONE,F,Athletics,Women's 400m Hurdles,United States,USA,3
Bronze,2024-10-08,Serbia,H,Basketball,Men,Serbia,SRB,1
Silver,2024-07-31,Italy,H,Rowing,Men's Quadruple Sculls,Italy,ITA,2
