Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Silver,2024-07-27,Luka MKHEIDZE,H,Judo,Men -60 kg,France,FRA,2
Silver,2024-07-29,Joan-Benjamin GABA,H,Judo,Men -73 kg,France,FRA,2
Gold,2024-07-28,ABE Hifumi,H,Judo,Men -66 kg,Japan,JPN,3
Bronze,2024-08-08,Rasheed BROADBELL,H,Athletics,Men's 110m Hurdles,Jamaica,JAM,1
Silver,2024-08-08,WANG Zongyuan,H,Diving,Men's 3m Springboard,China,CHN,2
Gold,2024-10-08,CAO Yuan,H,Diving,Men's 10m Platform,China,CHN,3
Bronze,2024-07-31,Beth POTTER,F,Triathlon,Women's Individual,Great Britain,GBR,1
Gold,2024-03-08,Kristof MILAK,H,Swimming,Men's 100m Butterfly,Hungary,HUN,3
Silver,2024-04-08,QIU Qiyuan,F,Artistic Gymnastics,Women's Uneven Bars,China,CHN,2
Silver,2024-08-08,Malaika MIHAMBO,F,Athletics,Women's Long Jump,Germany,GER,2
Bronze,2024-07-27,Luigi SAMELE,H,Fencing,Men's Sabre Individual,Italy,ITA,1
Bronze,2024-07-30,Gregorio PALTRINIERI,H,Swimming,Men's 800m Freestyle,Italy,ITA,1
Gold,2024-07-28,Nicolo MARTINENGHI,H,Swimming,Men's 100m Breaststroke,Italy,ITA,3
Gold,2024-07-31,Katie LEDECKY,F,Swimming,Women's 1500m Freestyle,United States,USA,3
Bronze,2024-09-08,Angie Paola PALACIOS DAJOMES,F,Weightlifting,Women's 71kg,Ecuador,ECU,1
Bronze,2024-02-08,WANG Shun,H,Swimming,Men's 200m Individual Medley,China,CHN,1
Silver,2024-07-29,Ariarne TITMUS,F,Swimming,Women's 200m Freestyle,Australia,AUS,2
Silver,2024-01-08,Rebeca ANDRADE,F,Artistic Gymnastics,Women's All-Around,Brazil,BRA,2
Bronze,2024-09-08,Helen Louise MAROULIS,F,Wrestling,Women's Freestyle 57kg,United States,USA,1
Bronze,2024-06-08,Omari JONES,H,Boxing,Men's 71kg,United States,USA,1
